Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 uF","C_0402_1005Metric",89.408000,-60.198000,0.000000,top
"C2","10 uF","C_0402_1005Metric",101.854000,-53.594000,0.000000,top
"C3","10 uF","C_0402_1005Metric",85.090000,-59.309000,0.000000,top
"C4","10 uF","C_0402_1005Metric",97.564000,-52.451000,0.000000,top
"C5","1u","C_0402_1005Metric",84.455000,-55.245000,90.000000,top
"C6","10u","C_0402_1005Metric",99.949000,-83.820000,90.000000,top
"C7","1u","C_0402_1005Metric",98.298000,-82.042000,180.000000,top
"C8","100u","C_0805_2012Metric",99.542600,-80.413860,180.000000,top
"C9","1u","C_0402_1005Metric",98.374200,-78.740000,180.000000,top
"C10","1u","C_0402_1005Metric",98.326000,-85.598000,0.000000,top
"C11","1u","C_0402_1005Metric",98.326000,-86.995000,0.000000,top
"C12","0.1u","C_0402_1005Metric",98.552000,-83.820000,90.000000,top
"C13","1u","C_0402_1005Metric",90.297000,-54.737000,90.000000,top
"C14","1u","C_0402_1005Metric",105.029000,-54.709000,90.000000,top
"C15","1u","C_0402_1005Metric",82.296000,-81.633000,90.000000,top
"C16","1u","C_0402_1005Metric",81.915000,-85.725000,180.000000,top
"C17","1u","C_0402_1005Metric",82.296000,-79.502000,270.000000,top
"C18","1u","C_0402_1005Metric",83.312000,-77.597000,180.000000,top
"C19","0.1u","C_0402_1005Metric",81.915000,-83.312000,180.000000,top
"C20","1u","C_0402_1005Metric",81.915000,-84.455000,180.000000,top
"C21","1u","C_0402_1005Metric",110.871000,-54.257000,90.000000,top
"R1","10k","R_0402_1005Metric",94.663260,-91.887040,0.000000,top
"R2","0.82","R_0402_1005Metric",90.873580,-91.935300,0.000000,top
"U6","scum3","QFN-100_EP_12x12_Pitch0.4mm",96.520000,-68.638000,0.000000,top
